,iso3,year,army
0,ABW,1990,
1,ABW,1991,
2,ABW,1992,
3,ABW,1993,
4,ABW,1994,
5,ABW,1995,
6,ABW,1996,
7,ABW,1997,
8,ABW,1998,
9,ABW,1999,
10,ABW,2000,
11,ABW,2001,
12,ABW,2002,
13,ABW,2003,
14,ABW,2004,
15,ABW,2005,
16,ABW,2006,
17,ABW,2007,
18,ABW,2008,
19,ABW,2009,
20,ABW,2010,
21,ABW,2011,
22,ABW,2012,
23,ABW,2013,
24,ABW,2014,
25,ABW,2015,
26,ABW,2016,
27,ABW,2017,
28,ABW,2018,
29,ABW,2019,
30,ABW,2020,
31,ABW,2021,
0,AFE,1990,922000.0
1,AFE,1991,814000.0
2,AFE,1992,800000.0
3,AFE,1993,850000.0
4,AFE,1994,794000.0
5,AFE,1995,1342300.0
6,AFE,1996,1296000.0
7,AFE,1997,1248390.0
8,AFE,1998,1284350.0
9,AFE,1999,1341150.0
10,AFE,2000,1387500.0
11,AFE,2001,1239200.0
12,AFE,2002,1196200.0
13,AFE,2003,1135900.0
14,AFE,2004,1118650.0
15,AFE,2005,1123450.0
16,AFE,2006,1116450.0
17,AFE,2007,1116450.0
18,AFE,2008,1124450.0
19,AFE,2009,1147823.0
20,AFE,2010,1287823.0
21,AFE,2011,1474402.0
22,AFE,2012,1475640.0
23,AFE,2013,1456740.0
24,AFE,2014,1467840.0
25,AFE,2015,1458640.0
26,AFE,2016,1336740.0
27,AFE,2017,1314000.0
28,AFE,2018,1343720.0
29,AFE,2019,1344000.0
30,AFE,2020,1200000.0
31,AFE,2021,1200000.0
0,AFG,1990,58000.0
1,AFG,1991,45000.0
2,AFG,1992,45000.0
3,AFG,1993,45000.0
4,AFG,1994,45000.0
5,AFG,1995,383000.0
6,AFG,1996,429000.0
7,AFG,1997,429000.0
8,AFG,1998,400000.0
9,AFG,1999,400000.0
10,AFG,2000,400000.0
11,AFG,2001,120000.0
12,AFG,2002,120000.0
13,AFG,2003,130000.0
14,AFG,2004,27000.0
15,AFG,2005,27000.0
16,AFG,2006,51000.0
17,AFG,2007,51000.0
18,AFG,2008,94000.0
19,AFG,2009,255745.0
20,AFG,2010,306800.0
21,AFG,2011,340350.0
22,AFG,2012,338150.0
