,iso3,year,democracy
0,MEX,1789,0.028
1,MEX,1790,0.028
2,MEX,1791,0.028
3,MEX,1792,0.028
4,MEX,1793,0.028
5,MEX,1794,0.028
6,MEX,1795,0.028
7,MEX,1796,0.028
8,MEX,1797,0.028
9,MEX,1798,0.028
10,MEX,1799,0.028
11,MEX,1800,0.028
12,MEX,1801,0.028
13,MEX,1802,0.028
14,MEX,1803,0.028
15,MEX,1804,0.028
16,MEX,1805,0.028
17,MEX,1806,0.028
18,MEX,1807,0.028
19,MEX,1808,0.028
20,MEX,1809,0.028
21,MEX,1810,0.03
22,MEX,1811,0.03
23,MEX,1812,0.054
24,MEX,1813,0.054
25,MEX,1814,0.054
26,MEX,1815,0.054
27,MEX,1816,0.041
28,MEX,1817,0.041
29,MEX,1818,0.041
30,MEX,1819,0.041
31,MEX,1820,0.07
32,MEX,1821,0.12
33,MEX,1822,0.122
34,MEX,1823,0.185
35,MEX,1824,0.184
36,MEX,1825,0.184
37,MEX,1826,0.184
38,MEX,1827,0.184
39,MEX,1828,0.184
40,MEX,1829,0.184
41,MEX,1830,0.184
42,MEX,1831,0.153
43,MEX,1832,0.165
44,MEX,1833,0.184
45,MEX,1834,0.184
46,MEX,1835,0.184
47,MEX,1836,0.184
48,MEX,1837,0.165
49,MEX,1838,0.165
50,MEX,1839,0.165
51,MEX,1840,0.165
52,MEX,1841,0.158
53,MEX,1842,0.188
54,MEX,1843,0.23
55,MEX,1844,0.23
56,MEX,1845,0.23
57,MEX,1846,0.191
58,MEX,1847,0.215
59,MEX,1848,0.23
60,MEX,1849,0.23
61,MEX,1850,0.198
62,MEX,1851,0.198
63,MEX,1852,0.198
64,MEX,1853,0.198
65,MEX,1854,0.237
66,MEX,1855,0.237
67,MEX,1856,0.237
68,MEX,1857,0.237
69,MEX,1858,0.157
70,MEX,1859,0.152
71,MEX,1860,0.152
72,MEX,1861,0.152
73,MEX,1862,0.152
74,MEX,1863,0.152
75,MEX,1864,0.152
76,MEX,1865,0.152
77,MEX,1866,0.152
78,MEX,1867,0.18
79,MEX,1868,0.198
80,MEX,1869,0.198
81,MEX,1870,0.198
82,MEX,1871,0.198
83,MEX,1872,0.198
84,MEX,1873,0.198
85,MEX,1874,0.198
86,MEX,1875,0.198
87,MEX,1876,0.15
88,MEX,1877,0.132
89,MEX,1878,0.132
90,MEX,1879,0.132
91,MEX,1880,0.132
92,MEX,1881,0.132
93,MEX,1882,0.132
94,MEX,1883,0.132
95,MEX,1884,0.132
96,MEX,1885,0.132
97,MEX,1886,0.132
98,MEX,1887,0.132
99,MEX,1888,0.132
100,MEX,1889,0.132
101,MEX,1890,0.132
102,MEX,1891,0.132
103,MEX,1892,0.132
104,MEX,1893,0.132
105,MEX,1894,0.132
106,MEX,1895,0.132
107,MEX,1896,0.132
108,MEX,1897,0.132
109,MEX,1898,0.132
