,iso3,year,gdppc,population
0,AFG,1820,,3280
1,AFG,1870,,4207
2,AFG,1913,,5730
3,AFG,1950,1156.0,8150
4,AFG,1951,1170.0,8284
5,AFG,1952,1189.0,8425
6,AFG,1953,1240.0,8573
7,AFG,1954,1245.0,8728
8,AFG,1955,1246.0,8891
9,AFG,1956,1278.0,9062
10,AFG,1957,1253.0,9241
11,AFG,1958,1298.0,9429
12,AFG,1959,1307.0,9625
13,AFG,1960,1326.0,9829
14,AFG,1961,1309.0,10043
15,AFG,1962,1302.0,10267
16,AFG,1963,1298.0,10501
17,AFG,1964,1291.0,10744
18,AFG,1965,1290.0,10998
19,AFG,1966,1272.0,11262
20,AFG,1967,1277.0,11538
21,AFG,1968,1290.0,11825
22,AFG,1969,1278.0,12123
23,AFG,1970,1272.0,12431
24,AFG,1971,1237.0,12749
25,AFG,1972,1007.0,13079
26,AFG,1973,1011.0,13421
27,AFG,1974,1039.0,13772
28,AFG,1975,1074.0,14132
29,AFG,1976,1105.0,14501
30,AFG,1977,1022.0,14880
31,AFG,1978,1070.0,15269
32,AFG,1979,1023.0,15556
33,AFG,1980,1019.0,15044
34,AFG,1981,1144.0,13676
35,AFG,1982,1270.0,12583
36,AFG,1983,1347.0,12439
37,AFG,1984,1337.0,12769
38,AFG,1985,1304.0,13120
39,AFG,1986,1344.0,13126
40,AFG,1987,1211.0,13056
41,AFG,1988,1101.0,13169
42,AFG,1989,999.0,13503
43,AFG,1990,963.0,13568
44,AFG,1991,881.0,13672
45,AFG,1992,844.0,15023
46,AFG,1993,578.0,17003
47,AFG,1994,428.0,18486
48,AFG,1995,633.0,19445
49,AFG,1996,600.0,20111
50,AFG,1997,571.0,20769
51,AFG,1998,545.0,21452
52,AFG,1999,519.0,22206
53,AFG,2000,502.0,22461
54,AFG,2001,490.0,22507
55,AFG,2002,797.0,23600
56,AFG,2003,843.0,25005
57,AFG,2004,869.0,25698
58,AFG,2005,964.0,26335
59,AFG,2006,1057.0,27154
60,AFG,2007,1260.0,27387
61,AFG,2008,1320.0,27706
62,AFG,2009,1557.0,28484
63,AFG,2010,1628.0,29121
64,AFG,2011,1792.0,29758
65,AFG,2012,1945.0,30420
66,AFG,2013,2025.0,31108
67,AFG,2014,2022.0,31823
68,AFG,2015,1928.0,32564
69,AFG,2016,1929.0,33332
70,AFG,2017,2015.0,34125
71,AFG,2018,1935.0,34941
72,AGO,1950,1677.0,4118
73,AGO,1951,1715.0,4173
74,AGO,1952,1755.0,4232
75,AGO,1953,1795.0,4294
76,AGO,1954,1720.0,4358
77,AGO,1955,1830.0,4423
78,AGO,1956,1769.0,4491
79,AGO,1957,1908.0,4561
80,AGO,1958,1978.0,4636
81,AGO,1959,1953.0,4715
82,AGO,1960,1997.0,4797
83,AGO,1961,2225.0,4752
84,AGO,1962,2128.0,4826
85,AGO,1963,2200.0,4920
86,AGO,1964,2407.0,5026
87,AGO,1965,2544.0,5135
88,AGO,1966,2646.0,5201
89,AGO,1967,2753.0,5247
90,AGO,1968,2665.0,5350
91,AGO,1969,2695.0,5472
92,AGO,1970,2818.0,5606
93,AGO,1971,2754.0,5753
94,AGO,1972,2729.0,5895
95,AGO,1973,2852.0,6026
96,AGO,1974,2727.0,5987
97,AGO,1975,1710.0,5885
98,AGO,1976,1521.0,5943
99,AGO,1977,1500.0,6164
100,AGO,1978,1530.0,6287
101,AGO,1979,1527.0,6453
102,AGO,1980,1532.0,6743
103,AGO,1981,1471.0,6880
104,AGO,1982,1374.0,7019
105,AGO,1983,1288.0,7241
106,AGO,1984,1259.0,7442
107,AGO,1985,1242.0,7585
108,AGO,1986,1106.0,7749
109,AGO,1987,1211.0,7878
110,AGO,1988,1360.0,8023
111,AGO,1989,1360.0,8154
112,AGO,1990,1384.0,8297
113,AGO,1991,1437.0,8587
114,AGO,1992,1389.0,8899
115,AGO,1993,1080.0,9242
116,AGO,1994,1121.0,9601
117,AGO,1995,1319.0,9964
118,AGO,1996,1534.0,10313
119,AGO,1997,1687.0,10651
120,AGO,1998,1811.0,10990
121,AGO,1999,1899.0,11334
122,AGO,2000,2014.0,11676
123,AGO,2001,2162.0,12030
124,AGO,2002,2523.0,12443
125,AGO,2003,2712.0,12936
126,AGO,2004,3064.0,13480
127,AGO,2005,3709.0,14012
128,AGO,2006,4592.0,14535
129,AGO,2007,5774.0,15083
130,AGO,2008,6744.0,15658
131,AGO,2009,7088.0,16260
132,AGO,2010,7521.0,16884
133,AGO,2011,8016.0,17524
134,AGO,2012,8190.0,18202
135,AGO,2013,8508.0,18907
136,AGO,2014,8673.0,19623
137,AGO,2015,8689.0,20353
138,AGO,2016,8453.0,21097
139,AGO,2017,8146.0,21858
140,AGO,2018,7771.0,22638
141,ALB,1,,200
142,ALB,1000,,200
143,ALB,1500,,200
144,ALB,1600,,200
145,ALB,1700,,300
146,ALB,1820,,437
147,ALB,1850,,500
148,ALB,1870,711.0,603
149,ALB,1890,953.0,726
150,ALB,1900,1092.0,800
151,ALB,1910,1243.0,874
152,ALB,1913,1293.0,898
153,ALB,1920,,932
154,ALB,1921,,937
155,ALB,1922,,942
156,ALB,1923,,947
157,ALB,1924,,952
158,ALB,1925,,956
159,ALB,1926,,962
160,ALB,1927,,967
161,ALB,1928,,972
162,ALB,1929,1476.0,977
163,ALB,1930,,982
164,ALB,1931,,988
165,ALB,1932,,993
166,ALB,1933,,998
167,ALB,1934,,1003
168,ALB,1935,,1009
169,ALB,1936,,1014
170,ALB,1937,,1030
171,ALB,1938,,1040
172,ALB,1939,,1070
173,ALB,1940,,1088
174,ALB,1941,,1100
175,ALB,1942,,1117
176,ALB,1943,,1119
177,ALB,1944,,1122
178,ALB,1945,,1138
179,ALB,1946,,1154
180,ALB,1947,,1175
181,ALB,1948,,1192
