,iso3,year,ideal
0,USA,1946,1.729717
1,USA,1947,1.968981
2,USA,1948,1.949136
3,USA,1949,1.81424
4,USA,1950,1.660217
5,USA,1951,1.75981
6,USA,1952,1.920732
7,USA,1953,1.516792
8,USA,1954,1.234534
9,USA,1955,1.871999
10,USA,1956,1.046382
11,USA,1957,1.079123
12,USA,1958,1.116624
13,USA,1959,1.528992
14,USA,1960,1.419454
15,USA,1961,1.69671
16,USA,1962,2.01226
17,USA,1963,1.813098
18,USA,1965,2.124358
19,USA,1966,2.191709
20,USA,1967,2.473829
21,USA,1968,2.336949
22,USA,1969,2.15054
23,USA,1970,2.184297
24,USA,1971,1.787179
25,USA,1972,2.148017
26,USA,1973,2.21551
27,USA,1974,2.084635
28,USA,1975,2.369142
29,USA,1976,2.792449
30,USA,1977,2.35952
31,USA,1978,2.325103
32,USA,1979,2.385312
33,USA,1980,2.479658
34,USA,1981,2.789282
35,USA,1982,2.664653
36,USA,1983,2.678515
37,USA,1984,2.871965
38,USA,1985,2.884335
39,USA,1986,3.015079
40,USA,1987,3.097994
41,USA,1988,3.081419
42,USA,1989,3.178103
43,USA,1990,3.102452
44,USA,1991,3.008041
45,USA,1992,3.042911
46,USA,1993,2.996607
47,USA,1994,3.052972
48,USA,1995,3.188316
49,USA,1996,3.167965
50,USA,1997,3.021056
51,USA,1998,2.847558
52,USA,1999,2.716752
53,USA,2000,2.693807
54,USA,2001,2.685701
55,USA,2002,2.759603
56,USA,2003,2.929237
57,USA,2004,2.850988
58,USA,2005,2.931483
59,USA,2006,2.843669
60,USA,2007,2.770937
61,USA,2008,2.763177
62,USA,2009,2.58246
63,USA,2010,2.537109
64,USA,2011,2.505613
65,USA,2012,2.585647
66,USA,2013,2.66286
67,USA,2014,2.670668
68,USA,2015,2.557037
69,USA,2016,2.538937
70,USA,2017,2.654753
71,USA,2018,2.698226
72,USA,2019,2.613622
73,USA,2020,2.702697
74,USA,2021,2.624004
75,USA,2022,2.463429
76,CAN,1946,1.847444
77,CAN,1947,2.24296
78,CAN,1948,1.859959
79,CAN,1949,1.531896
80,CAN,1950,1.857838
81,CAN,1951,2.029577
82,CAN,1952,2.035037
83,CAN,1953,1.504
84,CAN,1954,1.62157
85,CAN,1955,1.586908
86,CAN,1956,1.391087
87,CAN,1957,1.531947
88,CAN,1958,1.434484
89,CAN,1959,0.8966173
90,CAN,1960,1.009762
91,CAN,1961,1.496839
92,CAN,1962,1.579855
93,CAN,1963,1.613571
94,CAN,1965,1.789767
95,CAN,1966,1.873244
96,CAN,1967,1.837175
